complaint,category,priority,department,cleaned_complaint
حواف رصيف متاكله,3,منخفضة,إدارة الطرق والإنشاءات,حواف رصيف متاكله
نقص حاويات في حي البندر,4,متوسطة,إدارة النظافة والبيئة,نقص حاويات في حي البندر
لوحات تالفة في طريق جدة,1,منخفضة,إدارة تحسين المشهد الحضري,لوحات تالفه في طريق جده
تراكم أتربة في حي الشرم,1,منخفضة,إدارة تحسين المشهد الحضري,تراكم اتربه في حي الشرم
نقص حاويات في حي النوى,4,متوسطة,إدارة النظافة والبيئة,نقص حاويات في حي النوي
حفر في المسار في المنطقة التاريخية,3,عالية,إدارة الطرق والإنشاءات,حفر في المسار في المنطقه التاريخيه
تماس في عمود إنارة في حي الجابرية,0,عالية,إدارة التشغيل والصيانة,تماس في عمود اناره في حي الجابريه
حاجة لتخطيط مسارات في طريق جدة,3,عالية,إدارة الطرق والإنشاءات,حاجه لتخطيط مسارات في طريق جده
تراكم أتربة في حي العزيزية,1,منخفضة,إدارة تحسين المشهد الحضري,تراكم اتربه في حي العزيزيه
أعمال حفر مهملة في المنطقة الصناعية,5,عالية,إدارة المشاريع,اعمال حفر مهمله في المنطقه الصناعيه
رمي عشوائي للمخلفات في طريق جدة,4,منخفضة,إدارة النظافة والبيئة,رمي عشوائي للمخلفات في طريق جده
مبنى قديم آيل للسقوط في حي الجابرية,6,عالية,إدارة الرقابة الفنية,مبني قديم ايل للسقوط في حي الجابريه
أعمال حفر مهملة في طريق جدة,5,عالية,إدارة المشاريع,اعمال حفر مهمله في طريق جده
تلف في ألعاب الأطفال في حي الشرم,2,متوسطة,إدارة الحدائق والتشجير,تلف في العاب الاطفال في حي الشرم
تصدعات عميقة في حي البندر,3,عالية,إدارة الطرق والإنشاءات,تصدعات عميقه في حي البندر
تصدعات  خفيفة في مبنى مهجور في المنطقة الصناعية,6,متوسطة,إدارة الرقابة الفنية,تصدعات خفيفه في مبني مهجور في المنطقه الصناعيه
تماس في عمود إنارة في حي الصريف,0,عالية,إدارة التشغيل والصيانة,تماس في عمود اناره في حي الصريف
جفاف مسطحات خضراء في حي السميري,2,متوسطة,إدارة الحدائق والتشجير,جفاف مسطحات خضراء في حي السميري
تعطل أعمدة إنارة في المنطقة الصناعية,0,متوسطة,إدارة التشغيل والصيانة,تعطل اعمده اناره في المنطقه الصناعيه
تراكم نفايات في المنطقة الصناعية,4,منخفضة,إدارة النظافة والبيئة,تراكم نفايات في المنطقه الصناعيه
تلف في ألعاب الأطفال في حي السميري,2,متوسطة,إدارة الحدائق والتشجير,تلف في العاب الاطفال في حي السميري
تعطل أعمدة إنارة في حي الجابرية,0,متوسطة,إدارة التشغيل والصيانة,تعطل اعمده اناره في حي الجابريه
تراكم أتربة في طريق جدة,1,منخفضة,إدارة تحسين المشهد الحضري,تراكم اتربه في طريق جده
نقص حاويات في حي الشرم,4,عالية,إدارة النظافة والبيئة,نقص حاويات في حي الشرم
حاجة لتخطيط مسارات في حي الجابرية,3,عالية,إدارة الطرق والإنشاءات,حاجه لتخطيط مسارات في حي الجابريه
تراكم أتربة في المنطقة التاريخية,1,منخفضة,إدارة تحسين المشهد الحضري,تراكم اتربه في المنطقه التاريخيه
تآكل في واجهة مبنى في حي العزيزية,6,عالية,إدارة الرقابة الفنية,تاكل في واجهه مبني في حي العزيزيه
تلف الأرصفة في المنطقة التاريخية,3,عالية,إدارة الطرق والإنشاءات,تلف الارصفه في المنطقه التاريخيه
حفر في المسار في حي الصريف,3,عالية,إدارة الطرق والإنشاءات,حفر في المسار في حي الصريف
ضعف إنارة الحديقة في المنطقة الصناعية,2,منخفضة,إدارة الحدائق والتشجير,ضعف اناره الحديقه في المنطقه الصناعيه
نقص حاويات في كورنيش ينبع,4,عالية,إدارة النظافة والبيئة,نقص حاويات في كورنيش ينبع
تراكم أتربة في طريق الملك عبدالعزيز,1,منخفضة,إدارة تحسين المشهد الحضري,تراكم اتربه في طريق الملك عبدالعزيز
تصدعات عميقة في كورنيش ينبع,3,عالية,إدارة الطرق والإنشاءات,تصدعات عميقه في كورنيش ينبع
حاويات ممتلئة في حي البندر,4,متوسطة,إدارة النظافة والبيئة,حاويات ممتلئه في حي البندر
تراكم نفايات في حي الصريف,4,متوسطة,إدارة النظافة والبيئة,تراكم نفايات في حي الصريف
تلف يسبب خطر في ألعاب الأطفال في كورنيش ينبع,2,عالية,إدارة الحدائق والتشجير,تلف يسبب خطر في العاب الاطفال في كورنيش ينبع
جفاف مسطحات خضراء في حي الصريف,2,منخفضة,إدارة الحدائق والتشجير,جفاف مسطحات خضراء في حي الصريف
تلف في ألعاب الأطفال في طريق الملك عبدالعزيز,2,متوسطة,إدارة الحدائق والتشجير,تلف في العاب الاطفال في طريق الملك عبدالعزيز
حاجة لصيانة إضاءة في حي النوى,0,متوسطة,إدارة التشغيل والصيانة,حاجه لصيانه اضاءه في حي النوي
تراكم نفايات في حي الشرم,4,منخفضة,إدارة النظافة والبيئة,تراكم نفايات في حي الشرم
مبنى قديم آيل للسقوط في حي الصريف,6,عالية,إدارة الرقابة الفنية,مبني قديم ايل للسقوط في حي الصريف
نقص حاويات في حي العزيزية,4,عالية,إدارة النظافة والبيئة,نقص حاويات في حي العزيزيه
نقص حاويات في حي الجابرية,4,عالية,إدارة النظافة والبيئة,نقص حاويات في حي الجابريه
تلف في الطريق في المنطقة الصناعية,5,متوسطة,إدارة المشاريع,تلف في الطريق في المنطقه الصناعيه
كتابات على الجدران في حي النوى,1,منخفضة,إدارة تحسين المشهد الحضري,كتابات علي الجدران في حي النوي
رمي عشوائي للمخلفات في حي السميري,4,منخفضة,إدارة النظافة والبيئة,رمي عشوائي للمخلفات في حي السميري
رمي عشوائي للمخلفات في حي السميري,4,متوسطة,إدارة النظافة والبيئة,رمي عشوائي للمخلفات في حي السميري
أعمال حفر مهملة في حي النوى,5,عالية,إدارة المشاريع,اعمال حفر مهمله في حي النوي
تصدعات في مبنى مهجور في المنطقة التاريخية,6,عالية,إدارة الرقابة الفنية,تصدعات في مبني مهجور في المنطقه التاريخيه
حاجة لتخطيط مسارات في طريق الملك عبدالعزيز,3,عالية,إدارة الطرق والإنشاءات,حاجه لتخطيط مسارات في طريق الملك عبدالعزيز
هبوط في الأسفلت في المنطقة الصناعية,5,عالية,إدارة المشاريع,هبوط في الاسفلت في المنطقه الصناعيه
انطفاء كشافات الشارع في حي العزيزية,0,منخفضة,إدارة التشغيل والصيانة,انطفاء كشافات الشارع في حي العزيزيه
تصدعات عميقة في حي السميري,3,عالية,إدارة الطرق والإنشاءات,تصدعات عميقه في حي السميري
تعطل أعمدة إنارة في حي الشرم,0,متوسطة,إدارة التشغيل والصيانة,تعطل اعمده اناره في حي الشرم
حاويات ممتلئة في حي الجابرية,4,منخفضة,إدارة النظافة والبيئة,حاويات ممتلئه في حي الجابريه
تلف في ألعاب الأطفال في حي النوى,2,متوسطة,إدارة الحدائق والتشجير,تلف في العاب الاطفال في حي النوي
تلف في الطريق في حي الجابرية,5,عالية,إدارة المشاريع,تلف في الطريق في حي الجابريه
هبوط في الأسفلت في طريق الملك عبدالعزيز,5,عالية,إدارة المشاريع,هبوط في الاسفلت في طريق الملك عبدالعزيز
تصدعات في مبنى مهجور في طريق الملك عبدالعزيز,6,عالية,إدارة الرقابة الفنية,تصدعات في مبني مهجور في طريق الملك عبدالعزيز
خردة مركونة في المنطقة التاريخية,1,منخفضة,إدارة تحسين المشهد الحضري,خرده مركونه في المنطقه التاريخيه
رمي عشوائي للمخلفات في كورنيش ينبع,4,منخفضة,إدارة النظافة والبيئة,رمي عشوائي للمخلفات في كورنيش ينبع
لوحات تالفة في المنطقة الصناعية,1,متوسطة,إدارة تحسين المشهد الحضري,لوحات تالفه في المنطقه الصناعيه
تلف في الطريق في حي الجابرية,5,متوسطة,إدارة المشاريع,تلف في الطريق في حي الجابريه
مبنى قديم آيل للسقوط في المنطقة التاريخية,6,عالية,إدارة الرقابة الفنية,مبني قديم ايل للسقوط في المنطقه التاريخيه
